Year,State,Q01%,Q02%,Q03%,Q04%,Q08_Mean,Q09%,Q13%,Q14%,Q16%,Q17%,Q18%,Q19%,Q21%,Q22%,Q27%,Q32%,Q33%,Q35_Mean,Q36%,Q37%,Q38%,Q39%,Q40%,Q42%,Q43%,Q44%,Q45%,Q05%,Q07%,Q10%,Q11%,Q12%,Q15%,Q20%,Q34%,Q46%,Mortality_Rate,Deaths,Aqi,Percent!!Population 18 to 24 years!!Bachelor's degree or higher,Percent!!Population 18 to 24 years!!High school graduate (includes equivalency),Percent!!Population 18 to 24 years!!Less than high school graduate,Percent!!Population 18 to 24 years!!Some college or associate's degree,"Percent!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!Population 25 years and over!!Associate's degree,Percent!!Population 25 years and over!!Bachelor's degree,Percent!!Population 25 years and over!!Graduate or professional degree,Percent!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!Population 25 years and over!!Less than 9th grade,"Percent!!Population 25 years and over!!Some college, no degree",Total!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Total!!Population 18 to 24 years!!Less than high school graduate,Total!!Population 18 to 24 years!!Some college or associate's degree,"Total!!Population 25 years and over!!9th to 12th grade, no diploma",Total!!Population 25 years and over!!Associate's degree,Total!!Population 25 years and over!!Bachelor's degree,Total!!Population 25 years and over!!Graduate or professional degree,Total!!Population 25 years and over!!High school graduate (includes equivalency),Total!!Population 25 years and over!!Less than 9th grade,"Total!!Population 25 years and over!!Some college, no degree",Percent!!Population 25 years and over!!Bachelor's degree or higher,Percent!!Population 25 years and over!!High school graduate or higher,Total!!Population 25 years and over!!Bachelor's degree or higher,Total!!Population 25 years and over!!High school graduate or higher
2015,Michigan,32.0,14.2,10.4,88.0,5.3,60.9,32.9,93.1,29.0,17.5,46.7,,11.5,51.2,19.8,22.8,77.2,6.6,,,,,,41.7,47.4,27.8,32.1,,,,,,,,,,30.1,3771,8.647058823529411,9.7,28.9,13,48.4,6.9,9.2,17,10.8,29.4,3,23.7,95749,284916,128219,477521,461761,622089,1145546,724927,1979472,201139,1593413,,,,
2015,Minnesota,30.9,12.7,7.1,88.4,4.1,65.1,29.5,92.3,25.6,13.3,55.0,,11.3,43.4,17.5,16.5,83.5,5.5,,,,,,43.0,36.9,21.2,28.2,,,,,,,,,,26.0,1789,6.513333333333333,12.9,27.5,13.2,46.5,4.2,11.2,22.9,11.8,25.4,3,21.5,65070,138996,66536,235159,155113,413953,847584,436423,941170,112193,794499,,,,
2015,Mississippi,17.5,11.4,13.0,91.6,6.8,55.0,34.4,91.2,44.0,19.4,52.7,,6.2,63.9,19.1,35.5,64.5,7.9,21.3,17.4,74.3,41.7,11.7,43.2,46.7,44.1,50.4,,,,,,,,,,28.7,2173,8.7,6.2,28.9,15.8,49.2,10.8,9.2,13,7.9,31,5.8,22.4,19255,90111,49158,153465,209997,179135,253036,153563,605790,112812,438004,,,,
2015,Missouri,25.6,13.2,11.1,90.0,5.7,62.0,33.5,90.7,32.3,17.8,56.3,,9.2,52.5,21.2,25.3,74.7,7.5,,,,,,,46.8,28.1,36.8,,,,,,,,,,44.1,1402,9.3625,9.5,30.1,13.8,46.6,7.5,7.7,17.3,10.6,31,3.6,22.4,56632,178672,82094,276496,308053,316815,706922,433938,1269953,145571,915960,,,,
2015,Montana,26.3,13.9,8.4,83.7,4.8,63.0,25.6,89.6,25.8,14.9,50.7,,11.0,45.1,18.6,19.7,80.3,6.5,,,,,,,41.5,22.2,31.3,,,,,,,,,,20.7,277,9.381818181818183,6,35.5,16.2,42.4,4.4,8.6,20.4,10.2,31.5,2,22.8,6002,35650,16220,42521,31182,60796,144135,72039,222399,14391,161387,,,,
2015,Nebraska,31.0,13.5,7.3,88.6,4.2,64.6,34.6,90.8,29.9,13.5,57.0,,10.8,49.2,17.3,19.0,81.0,5.5,26.9,19.0,73.0,16.0,9.9,33.7,40.4,21.0,28.7,,,,,,,,,,34.8,3803,7.2,12.5,26.2,11.7,49.6,5.1,10.1,19.8,10.4,26.9,3.9,23.8,24133,50520,22584,95740,62768,125055,244556,127732,331868,47858,292746,,,,
2015,Nevada,26.7,17.7,7.3,84.7,4.9,60.6,28.8,89.4,27.2,14.6,41.5,,9.9,45.4,16.3,21.3,78.7,6.1,,,,,,51.7,35.9,29.7,31.2,,,,,,,,,,36.7,376,8.125,5,34.9,18.6,41.4,8,8.1,15.5,8.1,27.9,6.4,26,12761,88796,47331,105235,157660,159610,304948,158733,549151,125701,512364,,,,
2015,New Hampshire,35.7,18.3,9.2,87.5,4.2,66.6,29.0,93.6,25.8,13.1,53.1,,10.4,45.6,19.4,15.5,84.5,5.8,,,,,,,42.1,22.1,24.3,,,,,,,,,,24.8,598,6.739999999999999,12.2,31.8,11.1,44.9,4.9,9.7,21.9,13.7,28.5,1.9,19.2,15890,41363,14427,58383,46392,91199,205513,128800,267078,18249,179983,,,,
2015,New Jersey,32.1,14.4,9.6,87.2,4.5,55.1,29.3,93.7,29.7,11.7,50.2,,9.9,49.4,13.5,20.9,79.1,5.9,23.5,15.3,68.9,23.7,10.7,40.8,38.8,28.9,32.2,,,,,,,,,,25.5,432,9.061538461538461,15.2,27.2,11.6,45.9,5.8,6.4,23.3,14.3,28.5,5.2,16.6,120751,215678,92194,364141,355305,392077,1437307,880766,1757377,319454,1024098,,,,
2015,New Mexico,28.3,19.6,10.9,84.9,5.6,62.4,27.7,88.3,25.7,14.9,49.8,65.9,6.5,48.0,20.6,28.1,71.9,7.1,,,,,,,41.0,32.0,37.4,,,,,,,,,,19.8,2260,6.9,4.7,29.9,18.1,47.4,8.6,7.7,14.4,12.1,26.8,6.7,23.6,9689,62173,37642,98641,118788,106315,198116,166346,369807,92820,325356,,,,
